"","1-b","1-m","10-b","10-m","5-b","5-m","s-b","s-m"
"Cre02.g117950.t1.1.v5.5",14.8569116589325,0,9.54765240800655,21.1364926474481,18.0763928082324,116.665326664371,0,0
"Cre02.g118000.t1.2.v5.5",0,51.0431464731111,2.49378980806141,3.65823911205833,0,0.462957645493536,9.854081268308,0
"Cre02.g118050.t1.2.v5.5",0,353.375629429231,36.0530755108307,51.2153475688166,14.3585531526385,18.0553481742479,0,10.5301139331799
"Cre02.g118100.t1.2.v5.5",0,10.7975886770043,2.77879435755414,0,0.769208204605635,0,0,0
"Cre02.g118125.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g118125.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre02.g118151.t1.1.v5.5",0,0,4.56007279188372,7.11324271789119,0,0,0,0
"Cre02.g118200.t1.2.v5.5",747.797886832935,222.822966334543,59.3521974318616,67.677423573079,128.457770169141,270.367264968225,0,10.5301139331799
"Cre02.g118250.t1.1.v5.5",0,0,20.4490764261036,12.8038368922041,14.8713586223756,31.944077539054,0,10.5301139331799
"Cre02.g118300.t1.2.v5.5",0,0.981598970636752,24.8666469432409,21.94943467235,0.384604102302817,0.462957645493536,0,0
"Cre02.g118350.t1.1.v5.5",4.95230388631083,178.651012655889,8.26513193528925,0,5.64086016710799,0,0,0
"Cre02.g118400.t1.1.v5.5",0,0,0.0712511373731832,0,0,0,0,0
"Cre02.g118450.t1.1.v5.5",4.95230388631083,0.981598970636752,26.2204185533314,17.4782535353898,15.1277613572441,0,2956.2243804924,21.0602278663597
"Cre02.g118500.t1.1.v5.5",9.90460777262166,496.689079142197,136.018421245407,135.558082652383,225.890809419188,145.831658330464,29.562243804924,52.6505696658993
"Cre02.g118550.t1.2.v5.5",4.95230388631083,218.896570451996,43.4631937976417,49.9959345314638,36.4091883513334,35.6477387030022,0,10.5301139331799
"Cre02.g118600.t1.2.v5.5",9.90460777262166,3.92639588254701,143.214786120098,153.239571693999,75.6388067862207,0,9.854081268308,21.0602278663597
"Cre02.g118650.t1.1.v5.5",4.95230388631083,0.981598970636752,2.56504094543459,8.1294202490185,19.6148092174437,0,9.854081268308,0
"Cre02.g118700.t1.1.v5.5",24.7615194315542,1.9631979412735,66.4773111691799,26.8270868217611,49.6139291970634,47.6846374858342,3774.11312576196,21.0602278663597
