"","1-b","1-t","10-b","10-t","5-b","5-t","s-b","s-t"
"Cre08.g372550.t1.1.v5.5",1247.82828844998,90.8630774024707,133.054237228749,48.6429075815179,122.588712134022,40.1130091063928,0,11.3121437983589
"Cre08.g372600.t1.2.v5.5",0,0,9.77185217679992,1.22549960961189,0.167470918215878,0,0,0
"Cre08.g372650.t1.2.v5.5",0,0,16.6644979086499,14.2346493116457,3.0144765278858,0,0,0
"Cre08.g372716.t1.2.v5.5",0,0,4.79867740824996,5.18480604066567,0.502412754647633,0,0,0
"Cre08.g372750.t1.1.v5.5",0,167.452644561641,12.3020639011499,15.8372257242151,22.1061612044958,0.911659297872563,599.064272472564,11.3121437983589
"Cre08.g372800.t1.1.v5.5",5.40185406255402,0,81.4030185799494,119.816154139747,61.461826985227,0,0,0
"Cre08.g372850.t1.2.v5.5",0,0,22.6846568389998,18.4767633449177,15.9097372305084,0,0,0
"Cre08.g372900.t1.1.v5.5",27.0092703127701,0,14.2215348644499,3.20515282513878,29.1399397695627,6.38161508510794,0,339.364313950767
"Cre08.g372950.t1.2.v5.5",5.40185406255402,195.303396255885,81.3157698997994,404.132063569704,122.588712134022,0,10.3286943529752,0
"Cre08.g373000.t1.2.v5.5",0,0,11.2550797393499,12.4435344975976,12.8952607026226,0,0,11.3121437983589
"Cre08.g373050.t1.1.v5.5",5.40185406255402,144.823908810068,60.4633353439495,50.2454839940873,28.9724688513468,15.4982080638336,0,497.734327127792
"Cre08.g373100.t1.1.v5.5",5.40185406255402,0,19.8926990741998,29.5062598314246,16.7470918215878,0.911659297872563,0,0
"Cre08.g373150.t1.1.v5.5",0,0,12.4765612614499,10.7466888842888,10.5506678476003,0,113.615637882728,0
"Cre08.g373200.t1.2.v5.5",10.803708125108,0,8.11412725394994,5.09053683992629,17.5844464126671,7.2932743829805,0,0
"Cre08.g373225.t1.1.v5.5",10.803708125108,0,0,1.41403801109064,0.66988367286351,3.64663719149025,0,0
"Cre08.g373250.t1.2.v5.5",0,43.5167995222561,97.8930191282992,167.987715717568,182.710771773522,370.133674936261,0,0
"Cre08.g373300.t1.1.v5.5",0,0.348134396178049,47.3760333214496,28.6578370247702,25.7905214052451,0,10.3286943529752,0
"Cre08.g373341.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373342.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373343.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373344.t1.1.v5.5",0,0,0,0.565615204436255,0,0,0,0
"Cre08.g373345.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373346.t1.1.v5.5",1485.50986720236,285.122070469822,266.719215218548,207.675049228845,291.566868613843,990.061997489604,10.3286943529752,0
"Cre08.g373347.t1.1.v5.5",0,0,2.70470908464998,1.88538401478752,0,0,10.3286943529752,0
"Cre08.g373348.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373348.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373349.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373349.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373349.t3.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373350.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373351.t1.1.v5.5",0,0,3.05370380524998,1.41403801109064,5.86148213755571,0,0,0
"Cre08.g373352.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373353.t1.1.v5.5",0,0,0,1.03696120813313,0,0,0,0
"Cre08.g373354.t1.1.v5.5",0,0.348134396178049,0,0,0,0,0,0
"Cre08.g373355.t1.1.v5.5",0,0,1.83222228314999,1.79111481404814,0,0,0,0
"Cre08.g373356.t1.1.v5.5",0,0,0.697989441199995,1.60257641256939,1.84218010037465,0,10.3286943529752,0
"Cre08.g373357.t1.1.v5.5",0,0,2.18121700374998,0.377076802957503,0,0,0,0
"Cre08.g373358.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373359.t1.1.v5.5",0,20.1917949783268,225.014346106848,172.983983356755,218.717019189936,607.165092383127,0,0
"Cre08.g373360.t1.1.v5.5",0,0,0,0.0942692007393758,0,0,0,0
"Cre08.g373361.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373362.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373363.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373364.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373365.t1.1.v5.5",0,37.2503803910512,4.36243400749997,0.565615204436255,0,0,0,0
"Cre08.g373366.t1.1.v5.5",0,0,1.65772492284999,0.0942692007393758,0.167470918215878,0,0,0
"Cre08.g373367.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373368.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373369.t1.1.v5.5",0,0,0,0.188538401478752,0,0,0,0
"Cre08.g373370.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373371.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373372.t1.1.v5.5",0,0,0.0872486801499993,0,1.5072382639429,0,0,0
"Cre08.g373373.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373374.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373374.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373375.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373376.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373377.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373400.t1.2.v5.5",0,0,0,0.282807602218127,0,0,0,0
"Cre08.g373407.t1.1.v5.5",0,0,0,0,0,1.82331859574513,0,0
"Cre08.g373414.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373421.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373421.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373428.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g373436.t1.1.v5.5",0,0,0,0,0,0,0,0
