"","1-m","1-t","10-m","10-t","5-m","5-t","s-m","s-t"
"Cre01.g009350.t1.2.v5.5",1.02971563692018,2.74042938300279,44.8495615344125,67.9777959014206,55.6366919075651,5.11622303868049,0,0
"Cre01.g009400.t1.2.v5.5",0,0,0,3.34183409107703,0,0,0,139.66881718596
"Cre01.g009450.t1.1.v5.5",0,0,14.6538171350061,9.53645338185397,0,0,0,0
"Cre01.g009500.t1.2.v5.5",0,0,12.2115142791717,3.17881779395133,0.47552728126124,1.70540767956016,0,0
"Cre01.g009550.t1.1.v5.5",0,0,71.2708378838932,95.1200093728512,114.602074783959,0,2236.65719273442,2735.18100322506
"Cre01.g009575.t1.1.v5.5",6.17829382152108,1.21796861466791,23.090863364252,14.8344830384395,0.47552728126124,0,0,0
"Cre01.g009601.t1.1.v5.5",0,0,0,0.326032594251418,0,0,0,0
"Cre01.g009601.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g009650.t1.2.v5.5",3.08914691076054,0,23.7569459612977,7.98779855915974,15.2168730003597,0.852703839780082,0,0
"Cre01.g009676.t1.1.v5.5",0,0,0,0.652065188502836,0,0,0,0
"Cre01.g009700.t1.1.v5.5",0,105.354285168774,21.3146431054634,14.9159911870024,1.90210912504496,46.0460073481244,0,0
"Cre01.g009731.t1.2.v5.5",0,2.43593722933582,17.0961199908404,5.70557039939981,0.47552728126124,3.41081535912033,0,0
